"LURN_SAK","INCIDENT_DATE","INCIDENT_REPORTED_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","GANG_RELATED","UNIT_ID","UNIT_NAME","LONGITUDE","LATITUDE","PART_CATEGORY"
19977226,"07/25/2022 11:45:00 PM","07/26/2022","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","9300 OLYMPIC BLVD, PICO RIVERA, CA","9300 OLYMPIC BLVD","PICO RIVERA",,"922-04507-1512","1512","04507","NO","CA0190015","PICO RIVERA",-118.076,34.004,1
19977303,"07/26/2022 03:30:00 AM","07/26/2022","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","4300 DELAND AVE, PICO RIVERA, CA","4300 DELAND AVE","PICO RIVERA",,"922-04508-1511","1511","04508","NO","CA0190015","PICO RIVERA",-118.076,34.009,1
19997719,"08/16/2022 10:15:00 PM","08/17/2022","BURGLARY","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","4800 CIVIC CENTER WAY, LOS ANGELES, CA 90022","4800 CIVIC CENTER WAY","LOS ANGELES","90022","922-12234-0282","0282","12234","NO","CA0190002","EAST LOS ANGELES",-118.16,34.035,1
19993594,"08/12/2022 06:00:00 AM","08/12/2022","GRAND THEFT AUTO","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","1500 SIERRA HWY, ACTON, CA 93510","1500 SIERRA HWY","ACTON","93510","922-10615-2646","2646","10615","NO","CA01900W9","PALMDALE",-118.141,34.487,1
19997305,"08/15/2022 08:15:00 PM","08/16/2022","GRAND THEFT AUTO","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","5200 BELLFLOWER BLVD, LAKEWOOD, CA 90712","5200 BELLFLOWER BLVD","LAKEWOOD","90712","922-16174-1324","1324","16174","NO","CA0190013","LAKEWOOD",-118.125,33.853,1
19981345,"07/30/2022 08:30:00 AM","07/30/2022","VEHICLE / BOATING LAWS","250","VEHICLE AND BOATING LAWS: Hit And Run, Misdemeanor","ALAMEDA ST AND MADISON ST, CARSON, CA","ALAMEDA ST AND MADISON ST","CARSON",,"922-07641-1622","1622","07641","NO","CA0190016","CARSON",-118.224,33.834,2
19972703,"07/10/2022 02:45:00 PM","07/21/2022","MISDEMEANORS MISCELLANEOUS","391","MISDEMEANORS, MISCELLANEOUS: Trespassing","800 N PLANTATION LN, WALNUT, CA 91789","800 N PLANTATION LN","WALNUT","91789","922-05201-2915","2915","05201","NO","CA0190020","WALNUT",-117.841,34.034,2
19982026,"07/31/2022 06:15:00 PM","07/31/2022","GRAND THEFT AUTO","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","11700 DAVENPORT RD, ACTON, CA","11700 DAVENPORT RD","ACTON",,"922-09984-2645","2645","09984","NO","CA01900W9","PALMDALE",-118.34,34.483,1
19991827,"08/10/2022 07:30:00 AM","08/10/2022","VANDALISM","263","VANDALISM FELONY","8600 WHITTIER BLVD, PICO RIVERA, CA 90660","8600 WHITTIER BLVD","PICO RIVERA","90660","922-04864-1510","1510","04864","NO","CA0190015","PICO RIVERA",-118.087,34.003,2
19992713,"08/11/2022 10:27:00 AM","08/11/2022","MISDEMEANORS MISCELLANEOUS","391","MISDEMEANORS, MISCELLANEOUS: Trespassing","VARNA AVE, NORTH HOLLYWOOD, CA","VARNA AVE","NORTH HOLLYWOOD",,"922-00626-6155","6155","00626","NO","CA01900V6","METROLINK BUREAU",,,2
